sample_id,condition,transcript_id,isoform,biotype,TPM,total_klrk1,proportion
Arm_D7_MPEC_3,Arm_D7_MPEC,ENSMUST00000032252,Klrk1-201,protein_coding,130.740227,228.002044,57.341690761333695
Arm_D7_MPEC_3,Arm_D7_MPEC,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,228.002044,0.0
Arm_D7_MPEC_3,Arm_D7_MPEC,ENSMUST00000168919,Klrk1-205,protein_coding,58.835234,228.002044,25.804695856147674
Arm_D7_MPEC_3,Arm_D7_MPEC,ENSMUST00000137660,Klrk1-203,retained_intron,12.135287,228.002044,5.322446582978879
Arm_D7_MPEC_3,Arm_D7_MPEC,ENSMUST00000152256,Klrk1-204,retained_intron,23.93942,228.002044,10.49965148558054
Arm_D7_MPEC_3,Arm_D7_MPEC,ENSMUST00000204694,Klrk1-206,retained_intron,2.351876,228.002044,1.0315153139592028
Cl13_D7_TermEx_1,Cl13_D7_TermExhausted,ENSMUST00000032252,Klrk1-201,protein_coding,93.281699,170.599268,54.67883895023512
Cl13_D7_TermEx_1,Cl13_D7_TermExhausted,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,170.599268,0.0
Cl13_D7_TermEx_1,Cl13_D7_TermExhausted,ENSMUST00000168919,Klrk1-205,protein_coding,53.679244,170.599268,31.46510804489501
Cl13_D7_TermEx_1,Cl13_D7_TermExhausted,ENSMUST00000137660,Klrk1-203,retained_intron,6.444623,170.599268,3.777638131483659
Cl13_D7_TermEx_1,Cl13_D7_TermExhausted,ENSMUST00000152256,Klrk1-204,retained_intron,13.566101,170.599268,7.952027672240656
Cl13_D7_TermEx_1,Cl13_D7_TermExhausted,ENSMUST00000204694,Klrk1-206,retained_intron,3.627601,170.599268,2.1263872011455525
Cl13_D7_TermEx_2,Cl13_D7_TermExhausted,ENSMUST00000032252,Klrk1-201,protein_coding,30.891701,78.038104,39.58540689302241
Cl13_D7_TermEx_2,Cl13_D7_TermExhausted,ENSMUST00000095412,Klrk1-202,protein_coding,8.484021,78.038104,10.87163906493679
