sample,gene,ri_tpm,total_gene_tpm,ri_pct
Arm_D7_SLEC_3,Klrk1,44.281466,255.18272399999998,17.352846347074816
CD8_Effector_1,Actb,33.645437,9628.230156,0.34944570762086796
CD8_Effector_1,Gapdh,20.843607,646.806789,3.222539922969176
CD8_Effector_1,Klrk1,238.06506800000002,691.181824,34.44318987184478
CD8_MPEC_1,Actb,15.590600000000002,16407.647884,0.09502032290200017
CD8_MPEC_1,Gapdh,12.754071,913.9744189999999,1.3954516379084787
CD8_MPEC_1,Klrk1,68.138564,298.753055,22.807654301643876
CD8_MPEC_2,Actb,24.149329,12502.644193,0.19315377313161294
CD8_MPEC_2,Gapdh,7.88307,1016.025757,0.775873047084573
CD8_MPEC_2,Klrk1,38.922048999999994,189.90173099999998,20.49588952930608
CD8_Naive_1,Actb,37.740512,13631.844361,0.27685550832705846
CD8_Naive_1,Gapdh,4.176023000000001,317.02942899999994,1.3172351264588757
CD8_Naive_1,Klrk1,5.284957,8.597011,61.474354284297185
CD8_Naive_2,Actb,30.09779,7422.899722,0.40547213524650116
CD8_Naive_2,Gapdh,4.062121,490.467868,0.8282134804394566
CD8_Naive_2,Klrk1,7.577172,12.52971,60.47364224710707
CD8_Tcm_1,Actb,26.398101999999998,12555.415771000002,0.21025271071447335
CD8_Tcm_1,Gapdh,11.564388,527.0746250000001,2.19407033681426
CD8_Tcm_1,Klrk1,152.905424,472.295667,32.374936863437284
CD8_Tcm_2,Actb,25.938041,6673.645510000001,0.3886637514853556
CD8_Tcm_2,Gapdh,18.539723000000002,605.0655220000001,3.064085181835894
CD8_Tcm_2,Klrk1,174.11927699999998,485.441455,35.86823399744465
Cl13_D7_Prog_1,Actb,22.689357,1907.632568,1.1893987018573484
Cl13_D7_Prog_1,Gapdh,57.058006,1415.0139170000002,4.03232825589234
Cl13_D7_Prog_1,Klrk1,6.441423,55.900774,11.522958519322113
Cl13_D7_Prog_2,Actb,38.456947,2342.9082770000005,1.6414192300025747
Cl13_D7_Prog_2,Gapdh,44.252473,1474.1224109999998,3.001953750230313
Cl13_D7_Prog_2,Klrk1,21.49682,151.02917100000002,14.233554920327277
Cl13_D7_TermEx_1,Actb,50.273101,3973.2382450000005,1.2652928895785354
Cl13_D7_TermEx_1,Gapdh,34.868732,1723.282155,2.0233907662091473
Cl13_D7_TermEx_1,Klrk1,23.638325,170.599268,13.856053004869867
Cl13_D7_TermEx_2,Actb,26.691103,3069.022236,0.869694024595526
Cl13_D7_TermEx_2,Gapdh,39.542314,1732.705452,2.2821140173800294
Cl13_D7_TermEx_2,Klrk1,9.971717,78.038104,12.77801034222974
Healthy_CD4Nve_1,Actb,37.128865,12091.705073999998,0.3070606235661153
Healthy_CD4Nve_1,Gapdh,13.480846999999999,380.76533900000004,3.540460651015296
Healthy_CD4Nve_1,Klrk1,0.294132,0.829923,35.44087825015092
Healthy_CD4Nve_2,Actb,67.141428,7249.603837,0.9261392692567347
Healthy_CD4Nve_2,Gapdh,6.5308720000000005,365.45547899999997,1.787049962384064
Healthy_CD4Nve_2,Klrk1,0.970809,1.139342,85.20786559259642
Healthy_CD4Nve_3,Actb,15.911322,10945.790836,0.14536475471163482
Healthy_CD4Nve_3,Gapdh,2.553375,297.722144,0.8576369112806065
Healthy_CD4Nve_3,Klrk1,0.272383,0.41436,65.73583357466937
Healthy_CD4Nve_4,Actb,27.961999,7175.114714,0.38970804111941054
Healthy_CD4Nve_4,Gapdh,4.011552,435.968833,0.9201465096473994
Healthy_CD4Nve_4,Klrk1,0.604504,0.655585,92.208333015551
Healthy_CD8Nve_1,Actb,8.958446,9970.534151000002,0.08984920832051417
Healthy_CD8Nve_1,Gapdh,0.224528,315.277239,0.0712160512164343
Healthy_CD8Nve_1,Klrk1,5.790588,11.252352,51.4611345254752
Healthy_CD8Nve_2,Actb,24.599661,6587.643444,0.3734212576791064
Healthy_CD8Nve_2,Gapdh,5.041913,394.671664,1.2774955640088719
Healthy_CD8Nve_2,Klrk1,12.539971,18.771663,66.80266420721487
Healthy_CD8Nve_3,Actb,14.403396,21776.697560999997,0.06614132358523965
Healthy_CD8Nve_3,Gapdh,11.026855999999999,1045.355894,1.0548422851289725
Healthy_CD8Nve_3,Klrk1,90.13085199999999,350.02830900000004,25.749589299647184
Healthy_CD8Nve_4,Actb,14.522628000000001,15780.164823,0.092030901849852
Healthy_CD8Nve_4,Gapdh,5.842287,1198.0590989999998,0.48764597713722646
Healthy_CD8Nve_4,Klrk1,63.11822,273.362631,23.089556816564293
TCF7cKO_Post7_1,Actb,0.499475,775.3720499999998,0.06441746255878067
TCF7cKO_Post7_1,Gapdh,6.128921,471.32835200000005,1.300350588712304
TCF7cKO_Post7_1,Klrk1,8.016832,288.660413,2.7772536998344832
TCF7cKO_Post7_2,Actb,0.201791,1126.4628830000001,0.017913683890106474
TCF7cKO_Post7_2,Gapdh,6.779346,493.235672,1.3744638485920377
TCF7cKO_Post7_2,Klrk1,4.3167,211.36582700000002,2.042288510526349
TCF7cKO_Post7_3,Actb,0.686114,575.056795,0.1193123889615112
TCF7cKO_Post7_3,Gapdh,0.132832,408.548459,0.032513156535979006
TCF7cKO_Post7_3,Klrk1,8.096202,329.97588399999995,2.4535738496574497
TCF7cKO_Pre_1,Actb,3.8559970000000003,864.82057,0.4458724889025246
TCF7cKO_Pre_1,Gapdh,10.873842999999999,330.015491,3.2949492664876145
TCF7cKO_Pre_1,Klrk1,5.614452,55.22623099999999,10.166277687861772
TCF7cKO_Pre_2,Actb,1.608448,886.428775,0.18145259330057287
TCF7cKO_Pre_2,Gapdh,99.53593,361.18898999999993,27.55785274628665
TCF7cKO_Pre_2,Klrk1,4.599395,31.371566999999995,14.661030480243467
TCF7cKO_Pre_3,Actb,3.080208,2884.004022,0.10680317976338799
TCF7cKO_Pre_3,Gapdh,18.420205000000003,514.4779159999999,3.580368452588741
TCF7cKO_Pre_3,Klrk1,4.793884,27.199864,17.62466165272003
Tem_GSM4427964_22_23,Actb,76.40029,9941.995806,0.7684602919857638
Tem_GSM4427964_22_23,Gapdh,45.857344,1658.41468,2.765131336150497
Tem_GSM4427964_22_23,Klrk1,15.563182000000001,46.086155000000005,33.76975579759257
Tem_GSM4427966_24_25,Actb,52.69476,12058.480534999999,0.4369933661795309
Tem_GSM4427966_24_25,Gapdh,56.079792999999995,2032.9680429999999,2.7585181770611826
Tem_GSM4427966_24_25,Klrk1,13.192773,48.47466,27.215813375483194
Tem_GSM4427968_26_27,Actb,48.413198,12832.851982999997,0.37725984889511843
Tem_GSM4427968_26_27,Gapdh,51.847098,2144.789788,2.417351028528862
Tem_GSM4427968_26_27,Klrk1,12.287021000000001,53.150598,23.117371134751863
Tn_GSM4427970_28_29,Actb,99.014394,7408.345654000001,1.3365250303424894
Tn_GSM4427970_28_29,Gapdh,92.256023,1122.87537,8.216051884725195
Tn_GSM4427970_28_29,Klrk1,0.40341099999999996,2.541923,15.870307637170752
WT_Post7_1,Actb,0,2444.7628439999994,0
WT_Post7_1,Gapdh,1.979126,3303.396565,0.05991185015354038
WT_Post7_1,Klrk1,2.2536289999999997,61.22174,3.6810926968099893
WT_Post7_2,Actb,0.174959,3102.802265,0.005638741532889786
WT_Post7_2,Gapdh,2.092047,4922.221758,0.042502087529880855
WT_Post7_2,Klrk1,0.166333,6.903678,2.4093389060150256
WT_Post7_3,Actb,1.643105,791.2197459999999,0.2076673399907793
WT_Post7_3,Gapdh,1.5373269999999999,914.441442,0.16811650581339246
WT_Post7_3,Klrk1,6.507626,149.65723000000003,4.3483539017794195
WT_Pre_1,Actb,12.159642000000002,1412.932918,0.8605958460654961
WT_Pre_1,Gapdh,23.452291000000002,642.419265,3.6506207515429976
WT_Pre_1,Klrk1,3.508584,59.96309,5.851239487491388
WT_Pre_2,Actb,11.723334,1415.024314,0.828489933636575
WT_Pre_2,Gapdh,0.55589,572.768235,0.09705321734540673
WT_Pre_2,Klrk1,10.337759,23.637721,43.73416117399812
WT_Pre_3,Actb,7.297834999999999,1363.580308,0.5351965672417146
